standard_name,description_brief,external_details_URL,summary
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,POLB-Dependent Long Patch Base Excision Repair,https://www.reactome.org/content/detail/R-HSA-110362,"During POLB-dependent long patch base excision repair (BER), PARP1 and/or PARP2 is recruited to the BER site along with flap endonuclease FEN1. PARP1 and/or PARP2 and FEN1 facilitate POLB-mediated strand displacement synthesis which involves incorporation of 2-10 nucleotides at the 3' end of the APEX1-created single strand break (SSB). After the DNA strand displacement synthesis is completed and the displaced strand is cleaved, POLB recruits DNA ligase I (LIG1) to ligate the SSB (Klungland and Lindahl 1997, Dimitriadis et al. 1998, Prasad et al. 2001, Lavrik et al. 2001, Tomkinson et al. 2001, Ranalli et al. 2002, Cistulli et al. 2004, Liu et al. 2005). "
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,https://www.reactome.org/content/detail/R-HSA-110373,"While the single nucleotide replacement pathway appears to facilitate the repair of most damaged bases, an alternative BER pathway is evoked when the structure of the 5'-terminal sugar phosphate is such that it cannot be cleaved through the AP lyase activity of DNA polymerase beta (POLB). Under these circumstances, a short stretch of residues containing the abasic site is excised and replaced (Dianov et al., 1999). Following DNA glycosylase-mediated cleavage of the damaged base, the endonuclease APEX1 is recruited to the site of damage where it cleaves the 5' side of the abasic deoxyribose residue, as in the single nucleotide replacement pathway. However, POLB then synthesizes the first replacement residue without prior cleavage of the 5'-terminal sugar phosphate, hence displacing this entity. Long-patch BER can be completed by continued POLB-mediated DNA strand displacement synthesis in the presence of PARP1 or PARP2, FEN1 and DNA ligase I (LIG1) (Prasad et al. 2001). When the PCNA-containing replication complex is available, as is the case with cells in the S-phase of the cell cycle, DNA strand displacement synthesis is catalyzed by DNA polymerase delta (POLD) or DNA polymerase epsilon (POLE) complexes, in the presence of PCNA, RPA, RFC, APEX1, FEN1 and LIG1 (Klungland and Lindahl 1997, Dianova et al. 2001). In both POLB-dependent and PCNA-dependent DNA displacement synthesis, the displaced DNA strand containing the abasic sugar phosphate creates a flap structure that is recognized and cleaved by the flap endonuclease FEN1. The replacement residues added by POLB or POLD/POLE are then ligated by the DNA ligase I (LIG1) (Klungland and Lindahl, 1997; Matsumoto et al., 1999)."
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation of BAD and translocation to mitochondria,https://www.reactome.org/content/detail/R-HSA-111447,The switching on/off of its phosphorylation by growth/survival factors regulates BAD activity. BAD remains sequestered by 14-3-3 scaffold proteins after phosphorylation by Akt1.  Calcineurin activates BAD by dephosphorylation.
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation of NOXA and translocation to mitochondria,https://www.reactome.org/content/detail/R-HSA-111448,NOXA is transactivated in a p53-dependent manner and by E2F1. Activated NOXA is translocated to mitochondria.
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,https://www.reactome.org/content/detail/R-HSA-111453,"Bcl-2 interacts with tBid (Yi et al. 2003), BIM (Puthalakath et al. 1999), PUMA (Nakano and Vousden 2001), NOXA (Oda et al. 2000), BAD (Yang et al. 2005), BMF (Puthalakath et al. 2001), resulting in inactivation of BCL2.  Binding of BCL2 to tBID inhibits BID-induced cytochrome C release and apoptosis (Yi et al. 2003). BH3 only proteins associate with and inactivate anti-apoptotic BCL-XL."
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,Release of apoptotic factors from the mitochondria,https://www.reactome.org/content/detail/R-HSA-111457,Apoptotic factors released from the mitochondria promote apoptosis through several different mechanisms. Cytochrome C participates in Apoptosome driven effector caspase activation while SMAC relieves IAP mediated caspase inhibition.
REACTOME_FORMATION_OF_APOPTOSOME,Formation of apoptosome,https://www.reactome.org/content/detail/R-HSA-111458,"The apoptosome is a cytoplasmic protein complex of two major components ‑ the adapter protein apoptotic protease activating factor 1 (APAF1) and the protease caspase‑9 (CASP9) which interact with each other through their caspase recruitment domains (CARD) (Qin et al. 1999; Yuan S et al. 2010; Yuan S &amp; Akey CW 2013). The function of the apoptosome is to assemble a multimeric complex between APAF1 and procaspase-9 CARDs to facilitate CASP9 activation (Jiang X and Wang X 2000; Srinivasrula SM et al. 2001; Shiozaki EN et al. 2002). The apoptosome is assembled upon APAF1 interaction with cytochrome c (CYCS), which is released from the mitochondrial intermembrane space during apoptosis (Zou H et al. 1997; Yuan S et al. 2013; Shakeri R et al. 2017). CYCS‑bound APAF1 undergoes ATP-mediated conformational changes and in the presence of CARD of CASP9 oligomerizes into a heptameric complex, which activates procaspase 9 (Zou H et al. 1997; Bratton SB et al. 2010; Acehan D et al. 2002; Yu X et al. 2005; Yuan S et al. 2010; Su TW et al. 2017). In the apoptosome, recruitment of caspase-9 may occur before oligomerization in the CARD disk, which presumably brings the caspase domain into proximity for their dimerization and activation (Su TW et al. 2017; Hu Q et al. 2014; Cheng TC et al. 2016). Once activated, CASP9 activates downstream effector caspases‑3 and ‑7. The activated effector caspases then cleave various cellular proteins. Different models have been proposed to explain CASP9 activation: the “proximity‑driven dimerization model” and the “induced conformation model”. The first models states that upon binding to heptameric APAF1, monomers of procaspase‑9 are brought into close proximity at a high concentration (Acehan et al. 2002; Renatus et al. 2001). This induces dimerization which is sufficient for CASP9 activation whereas autoprocessing within the apoptosome complex merely stabilizes CASP9 dimer (Boatright KM et al. 2003; Pop C et al. 2006). The “induced conformation model” is based on the observation that CASP9 has a much higher level of catalytic activity when it's bound to the apoptosome. The model suggests that a conformational change occurs at the active site of CASP9 upon binding to APAF1 thus inducing CASP9 homodimerization and stabilizing it in the catalytically active conformation (Shiozaki EN et al. 2002). CASP9 activation may also involve formation of a multimeric CARD:CARD assembly between APAF1 and procaspase‑9 (Hu Q et al. 2014)."
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,Activation of caspases through apoptosome-mediated cleavage,https://www.reactome.org/content/detail/R-HSA-111459,Procaspase-3 and 7 are cleaved by the apoptosome.
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,Cytochrome c-mediated apoptotic response,https://www.reactome.org/content/detail/R-HSA-111461,"Upon its release from the mitochondrial intermembrane space, cytochrome c (CYSC) binds to and causes an ATP-mediated conformational change in the cytoplasmic adaptor protein apoptotic protease‑activating factor 1 (APAF1). This conformational change triggers the formation of procaspase-9-activating oligomeric protein complex named apoptosome. The active caspase‑9 holoenzyme activates downstream effector caspases‑3 and ‑7. The activated effector caspases then cleave various cellular proteins."
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,Apoptotic cleavage of cellular proteins,https://www.reactome.org/content/detail/R-HSA-111465,"Apoptotic cell death is achieved  by the caspase-mediatedcleavage of various vital proteins. Among caspase targets are proteins such as E-cadherin, Beta-catenin, alpha fodrin, GAS2, FADK, alpha adducin, HIP-55, and desmoglein  involved in cell adhesion and  maintenance of the cytoskeletal architecture. Cleavage of proteins such as APC and CIAP1 can further stimulate apoptosis by produce proapoptotic proteins (reviewed in Fischer et al., 2003. See also Wee et al., 2006 and the CASVM Caspase Substrates Database:  http://www.casbase.org/casvm/squery/index.html )."
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,"SMAC, XIAP-regulated apoptotic response",https://www.reactome.org/content/detail/R-HSA-111469,"Once released from the mitochondria, SMAC binds to IAP family proteins displacing them from Caspase:IAP complexes liberating the active caspases."
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,Apoptotic factor-mediated response,https://www.reactome.org/content/detail/R-HSA-111471,"In response to apoptotic signals, mitochondrial proteins are released into the cytosol and activate both caspase-dependent and -independent cell death pathways. Cytochrome c induces apoptosome formation, AIF and endonuclease G function in caspase independent apoptotic nuclear DNA damage. Smac/DIABLO and HtrA2/OMI promote both caspase activation and caspase-independent cytotoxicity (Saelens et al., 2004)."
REACTOME_OPIOID_SIGNALLING,Opioid Signalling,https://www.reactome.org/content/detail/R-HSA-111885,"Opioids are chemical substances similar to opiates, the active substances found in opium  (morphine, codeine etc.). Opioid action is mediated by the receptors for endogenous opioids; peptides such as the enkephalins, the endorphins or the dynorphins.  Opioids possess powerful analgesic and sedative effects, and are widely used as pain-killers. Their main side-effect is the rapid establishment of a strong addiction.  Opioids receptors are G-protein coupled receptors (GPCR). There are four classes of receptors:  mu (MOR), kappa (KOR) and delta (DOR), and the nociceptin receptor (NOP). "
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,PKA-mediated phosphorylation of CREB,https://www.reactome.org/content/detail/R-HSA-111931,"Cyclic adenosine 3',5'-monophosphate (cAMP) induces gene transcription through activation of cAMP-dependent protein kinase (PKA), and subsequent phosphorylation of the transcription factor cAMP response element-binding protein, CREB, at serine-133."
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,CaMK IV-mediated phosphorylation of CREB,https://www.reactome.org/content/detail/R-HSA-111932,"The Ca2+-calmodulin-dependent protein kinase (CaM kinase) cascade includes three kinases: CaM-kinase kinase (CaMKK); and the CaM kinases CaMKI and CaMKIV, which are phosphorylated and activated by CaMKK. Members of this cascade respond to elevation of intracellular Ca2+ levels. CaMKK and CaMKIV localize both to the nucleus and to the cytoplasm, whereas CaMKI is only cytosolic. Nuclear CaMKIV regulates transcription through phosphorylation of several transcription factors, including CREB. In the cytoplasm, there is extensive cross-talk between CaMKK, CaMKIV and other signaling cascades, including those that involve the cAMP-dependent kinase (PKA), MAP kinases and protein kinase B (PKB/Akt)."
REACTOME_CA_DEPENDENT_EVENTS,Ca-dependent events,https://www.reactome.org/content/detail/R-HSA-111996,"Calcium, as the ion Ca2+, is essential in many biological processes. The majority of Ca2+ in many organisms is bound to phosphates which form skeletal structures and also buffer Ca2+ levels in extracellular fluids (typically 1 millimolar). Intracellular free Ca2+, by contrast, is 10,000 times lower than the outside of the cell (typically 10 micromolar). This concentration gradient is used to import Ca2+ into cells where it acts as a second messenger."
REACTOME_G_PROTEIN_MEDIATED_EVENTS,G-protein mediated events,https://www.reactome.org/content/detail/R-HSA-112040,When dissociated Galpha-GTP and Gbeta-gamma can activate or inhibit different signalling cascades and effector proteins. The precise pathways depends on the identity of the alpha and beta/gamma subtypes.
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,Electric Transmission Across Gap Junctions,https://www.reactome.org/content/detail/R-HSA-112303,"Electrical synapses are found in all nervous systems, including the human brain. The membranes of the two communicating neurons come extremely close at the synapse and are actually linked together by an intercellular specialization called a gap junction. Gap junctions contain precisely aligned, paired channels in the membrane of the pre- and postsynaptic neurons, such that each channel pair forms a pore. Electrical synapses thus work by allowing ionic current to flow passively through the gap junction pores from one neuron to another. Because passive current flow across the gap junction is virtually instantaneous, communication can occur without the delay that is characteristic of chemical synapses."
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING,Presynaptic depolarization and calcium channel opening,https://www.reactome.org/content/detail/R-HSA-112308,"Action potentials occur in electrically excitable cells such as neurons, muscles, and endocrine cells. They are initiated by transient opening of voltage dependent sodium channels, causing a rapid, large depolarization of membrane potentials that spread along the axon membrane.The action potential travels down the axon and reaches the presynaptic terminal depolarizing the membrane in the pre synaptic terminal. The depolarization causes the voltage gated Ca2+ channels to open allowing the influx of Ca2+ that signals the release of neurotransmitter into the synaptic cleft."
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,Neurotransmitter release cycle,https://www.reactome.org/content/detail/R-HSA-112310,"Neurotransmitter is stored in the synaptic vesicle in the pre-synaptic terminal prior to its release in the synaptic cleft upon depolarization of the pre-synaptic membrane. The release of the neurotransmitter is a multi-step process that is controlled by electrical signals passing through the axons in form of action potential. Neurotransmitters include glutamate, acetylcholine, nor-epinephrine,  dopamine and seratonin. Each of the neurotransmitter cycle is independently described."
REACTOME_NEUROTRANSMITTER_CLEARANCE,Neurotransmitter clearance,https://www.reactome.org/content/detail/R-HSA-112311,"Neurotransmitter released in the synaptic cleft binds to specific  receptors on the post-synaptic cell and the excess of the neurotransmitter is cleared to prevent over activation of the post-synaptic cell. The neurotransmitter is cleared by either re-uptake by the pre-synaptic neuron, diffusion in the perisynaptic area, uptake by astrocytes surrounding the synaptic cleft or enzymatic degradation of the neurotransmitter."
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,Neurotransmitter receptors and postsynaptic signal transmission,https://www.reactome.org/content/detail/R-HSA-112314,The neurotransmitter in the synaptic cleft released by the pre-synaptic neuron binds specific receptors located on the post-synaptic terminal. These receptors are either ion channels or G protein coupled receptors that function to transmit the signals from the post-synaptic membrane to the cell body.
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,Transmission across Chemical Synapses,https://www.reactome.org/content/detail/R-HSA-112315,"Chemical synapses are specialized junctions that are used for communication between neurons, neurons and muscle or gland cells. The synapse involves a presynaptic neuron and a postsynaptic neuron, muscle cell or glad cell. The pre and the postsynaptic cell are separated by a gap (space) of 20 to 40 nm called the synaptic cleft. The signals pass in a single direction from the presynaptic to postsynaptic neuron (cell). The presynaptic neuron communicates via the release of neurotransmitter which bind the receptors on the postsynaptic cell. The process is initiated when an action potential invades the terminal membrane of the presynaptic neuron.Action potentials occur in electrically excitable cells such as neurons and muscles and endocrine cells. They are initiated by the transient opening of voltage dependent sodium channels, causing a rapid, large depolarization of membrane potentials that spread along the axon membrane.When action potentials arrive at the synaptic terminals, depolarization in membrane potential leads to the opening of voltage gated calcium channels located on the presynaptic membrane. The external Ca2+ concentration is approximately 10-3 M while the internal Ca2+ concentration is approximately 10-7 M. Opening of calcium channels causes a rapid influx of Ca2+ into the presynaptic terminal. The elevated presynaptic Ca2+ concentration allows synaptic vesicles to fuse with the plasma membrane of the presynaptic neuron and release their contents, neurotransmitters, into the synaptic cleft. These diffuse across the synaptic cleft and bind to specific receptors on the membrane of the postsynaptic cells. Activation of postsynaptic receptors upon neurotransmitter binding can lead to a multitude of effects in the postsynaptic cell, such as changing the membrane potential and excitability, and triggering intracellular signaling cascades."
REACTOME_NEURONAL_SYSTEM,Neuronal System,https://www.reactome.org/content/detail/R-HSA-112316,"The human brain contains at least 100 billion neurons, each with the ability to influence many other cells. Clearly, highly sophisticated and efficient mechanisms are needed to enable communication among this astronomical number of elements. This communication occurs across synapses, the functional connection between neurons. Synapses can be divided into two general classes: electrical synapses and chemical synapses. Electrical synapses permit direct, passive flow of electrical current from one neuron to another. The current flows through gap junctions, specialized membrane channels that connect the two cells. Chemical synapses enable cell-to-cell communication using neurotransmitter release. Neurotransmitters are chemical agents released by presynaptic neurons that trigger a secondary current flow in postsynaptic neurons by activating specific receptor molecules. Neurotransmitter secretion is triggered by the influx of Ca2+ through voltage-gated channels, which gives rise to a transient increase in Ca2+ concentration within the presynaptic terminal. The rise in Ca2+ concentration causes synaptic vesicles (the presynaptic organelles that store neurotransmitters) to fuse with the presynaptic plasma membrane and release their contents into the space between the pre- and postsynaptic cells. "
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,Formation of RNA Pol II elongation complex,https://www.reactome.org/content/detail/R-HSA-112382,"TFIIS is a transcription factor involved in different phases of transcription, occurring in a major ubiquitous form and other tissue specific forms.  TFIIS stimulates RNA Pol II complex out of elongation arrest.  Other transcription factors like ELL, Elongin family members and TFIIF interact directly with elongating Pol II and increase its elongation rate.  These factors have been observed to act on naked DNA templates by suppressing transient pausing by the enzyme at all or most steps of nucleotide addition. In Drosophila, ELL is found at a large number of  transcriptionally active sites on polytene chromosomes.  In general, ELL is suspected to have more unidentified functions. Elongin is a heterotrimeric protein complex that stimulates the overall rate of elongation.  In addition, Elongin may act as an E3 Ubiquitin ligase. Ubiquitylation of RNA Pol II occurs rapidly after genotoxic assault by UV light or chemicals, and results in degradation by proteasome.  The  FACT complex appears to promote elongation by facilitating passage of polymerase through chromatin. All these factors contribute to the formation of a processive elongation complex centered around the RNA Pol II complex positioned on the DNA:RNA hybrid.  This enables the RNA Pol II elongation complex to function as a platform that coordinates mRNA processing and export (Reviewed by Shilatifard et al., 2003)."
REACTOME_IRS_MEDIATED_SIGNALLING,IRS-mediated signalling,https://www.reactome.org/content/detail/R-HSA-112399,"Release of phospho-IRS from the insulin receptor triggers a cascade of signalling events via PI3K, SOS, RAF and the MAP kinases."
